Year,State,Age Group,Total Blood Donations
2010,Johor,17-24,5347
2010,Johor,25-29,3150
2010,Johor,30-34,2534
2010,Johor,35-39,2075
2010,Johor,40-44,1633
2010,Johor,45-49,1035
2010,Johor,50-54,514
2010,Johor,55-59,164
2010,Johor,60-64,18
2010,Johor,other,204
2010,Kedah,17-24,10714
2010,Kedah,25-29,2503
2010,Kedah,30-34,1683
2010,Kedah,35-39,1379
2010,Kedah,40-44,1178
2010,Kedah,45-49,811
2010,Kedah,50-54,452
2010,Kedah,55-59,200
2010,Kedah,60-64,16
2010,Kedah,other,25
2010,Kelantan,17-24,5145
2010,Kelantan,25-29,617
2010,Kelantan,30-34,465
2010,Kelantan,35-39,416
2010,Kelantan,40-44,321
2010,Kelantan,45-49,232
2010,Kelantan,50-54,128
2010,Kelantan,55-59,48
2010,Kelantan,60-64,4
2010,Kelantan,other,40
2010,Melaka,17-24,6273
2010,Melaka,25-29,1485
2010,Melaka,30-34,985
2010,Melaka,35-39,802
2010,Melaka,40-44,653
2010,Melaka,45-49,481
2010,Melaka,50-54,282
2010,Melaka,55-59,131
2010,Melaka,60-64,16
2010,Melaka,other,9
2010,Negeri Sembilan,17-24,3637
2010,Negeri Sembilan,25-29,838
2010,Negeri Sembilan,30-34,601
2010,Negeri Sembilan,35-39,483
2010,Negeri Sembilan,40-44,283
2010,Negeri Sembilan,45-49,189
2010,Negeri Sembilan,50-54,104
2010,Negeri Sembilan,55-59,45
2010,Negeri Sembilan,60-64,2
2010,Negeri Sembilan,other,0
2010,Pahang,17-24,1051
2010,Pahang,25-29,205
2010,Pahang,30-34,116
2010,Pahang,35-39,92
2010,Pahang,40-44,78
2010,Pahang,45-49,46
2010,Pahang,50-54,15
2010,Pahang,55-59,14
2010,Pahang,60-64,0
2010,Pahang,other,2
2010,Perak,17-24,8346
2010,Perak,25-29,1605
2010,Perak,30-34,1193
2010,Perak,35-39,1023
2010,Perak,40-44,822
2010,Perak,45-49,631
2010,Perak,50-54,319
2010,Perak,55-59,119
2010,Perak,60-64,6
2010,Perak,other,33
2010,Pulau Pinang,17-24,0
2010,Pulau Pinang,25-29,0
2010,Pulau Pinang,30-34,0
2010,Pulau Pinang,35-39,0
2010,Pulau Pinang,40-44,0
2010,Pulau Pinang,45-49,0
2010,Pulau Pinang,50-54,0
2010,Pulau Pinang,55-59,0
2010,Pulau Pinang,60-64,0
2010,Pulau Pinang,other,0
2010,Sabah,17-24,3741
2010,Sabah,25-29,1441
2010,Sabah,30-34,971
2010,Sabah,35-39,635
2010,Sabah,40-44,481
2010,Sabah,45-49,369
2010,Sabah,50-54,191
2010,Sabah,55-59,80
2010,Sabah,60-64,13
2010,Sabah,other,29
2010,Sarawak,17-24,2293
2010,Sarawak,25-29,911
2010,Sarawak,30-34,702
2010,Sarawak,35-39,674
2010,Sarawak,40-44,419
2010,Sarawak,45-49,362
2010,Sarawak,50-54,177
2010,Sarawak,55-59,61
2010,Sarawak,60-64,1
2010,Sarawak,other,5
2010,Selangor,17-24,4349
2010,Selangor,25-29,2200
2010,Selangor,30-34,1690
2010,Selangor,35-39,1277
2010,Selangor,40-44,1122
2010,Selangor,45-49,696
2010,Selangor,50-54,356
2010,Selangor,55-59,138
2010,Selangor,60-64,32
2010,Selangor,other,64
2010,Terengganu,17-24,4520
2010,Terengganu,25-29,650
2010,Terengganu,30-34,399
2010,Terengganu,35-39,255
2010,Terengganu,40-44,209
2010,Terengganu,45-49,143
2010,Terengganu,50-54,66
2010,Terengganu,55-59,18
2010,Terengganu,60-64,1
2010,Terengganu,other,6
2010,W.P. Kuala Lumpur,17-24,27929
2010,W.P. Kuala Lumpur,25-29,11278
2010,W.P. Kuala Lumpur,30-34,7775
2010,W.P. Kuala Lumpur,35-39,5286
2010,W.P. Kuala Lumpur,40-44,3562
2010,W.P. Kuala Lumpur,45-49,2312
2010,W.P. Kuala Lumpur,50-54,1265
2010,W.P. Kuala Lumpur,55-59,429
2010,W.P. Kuala Lumpur,60-64,46
2010,W.P. Kuala Lumpur,other,17
2011,Johor,17-24,4682
2011,Johor,25-29,2618
2011,Johor,30-34,2057
2011,Johor,35-39,1670
2011,Johor,40-44,1270
2011,Johor,45-49,895
2011,Johor,50-54,455
2011,Johor,55-59,156
2011,Johor,60-64,12
2011,Johor,other,99
2011,Kedah,17-24,12906
2011,Kedah,25-29,2385
2011,Kedah,30-34,1569
2011,Kedah,35-39,1370
2011,Kedah,40-44,1120
2011,Kedah,45-49,780
2011,Kedah,50-54,517
2011,Kedah,55-59,182
2011,Kedah,60-64,16
2011,Kedah,other,20
2011,Kelantan,17-24,4108
2011,Kelantan,25-29,541
2011,Kelantan,30-34,313
2011,Kelantan,35-39,294
2011,Kelantan,40-44,242
2011,Kelantan,45-49,168
2011,Kelantan,50-54,103
2011,Kelantan,55-59,56
2011,Kelantan,60-64,4
2011,Kelantan,other,26
2011,Melaka,17-24,6511
2011,Melaka,25-29,1453
2011,Melaka,30-34,968
2011,Melaka,35-39,669
2011,Melaka,40-44,588
2011,Melaka,45-49,434
2011,Melaka,50-54,261
2011,Melaka,55-59,143
2011,Melaka,60-64,14
2011,Melaka,other,42
2011,Negeri Sembilan,17-24,3457
2011,Negeri Sembilan,25-29,811
2011,Negeri Sembilan,30-34,590
2011,Negeri Sembilan,35-39,435
2011,Negeri Sembilan,40-44,326
2011,Negeri Sembilan,45-49,189
2011,Negeri Sembilan,50-54,95
2011,Negeri Sembilan,55-59,50
2011,Negeri Sembilan,60-64,2
2011,Negeri Sembilan,other,1
2011,Pahang,17-24,2266
2011,Pahang,25-29,598
2011,Pahang,30-34,487
2011,Pahang,35-39,408
2011,Pahang,40-44,352
2011,Pahang,45-49,340
2011,Pahang,50-54,224
2011,Pahang,55-59,105
2011,Pahang,60-64,9
2011,Pahang,other,6
2011,Perak,17-24,8846
2011,Perak,25-29,1558
2011,Perak,30-34,1086
2011,Perak,35-39,892
2011,Perak,40-44,747
2011,Perak,45-49,506
2011,Perak,50-54,336
2011,Perak,55-59,105
2011,Perak,60-64,9
2011,Perak,other,24
2011,Pulau Pinang,17-24,0
2011,Pulau Pinang,25-29,0
2011,Pulau Pinang,30-34,0
2011,Pulau Pinang,35-39,0
2011,Pulau Pinang,40-44,0
2011,Pulau Pinang,45-49,0
2011,Pulau Pinang,50-54,0
2011,Pulau Pinang,55-59,0
2011,Pulau Pinang,60-64,0
2011,Pulau Pinang,other,0
2011,Sabah,17-24,4388
2011,Sabah,25-29,1430
2011,Sabah,30-34,899
2011,Sabah,35-39,563
2011,Sabah,40-44,491
2011,Sabah,45-49,382
2011,Sabah,50-54,213
2011,Sabah,55-59,96
2011,Sabah,60-64,6
2011,Sabah,other,47
2011,Sarawak,17-24,2028
2011,Sarawak,25-29,720
2011,Sarawak,30-34,523
2011,Sarawak,35-39,448
2011,Sarawak,40-44,358
2011,Sarawak,45-49,249
2011,Sarawak,50-54,119
2011,Sarawak,55-59,62
2011,Sarawak,60-64,2
2011,Sarawak,other,3
2011,Selangor,17-24,4987
2011,Selangor,25-29,1938
2011,Selangor,30-34,1448
2011,Selangor,35-39,1227
2011,Selangor,40-44,972
2011,Selangor,45-49,633
2011,Selangor,50-54,362
2011,Selangor,55-59,136
2011,Selangor,60-64,10
2011,Selangor,other,17
2011,Terengganu,17-24,4986
2011,Terengganu,25-29,601
2011,Terengganu,30-34,326
2011,Terengganu,35-39,199
2011,Terengganu,40-44,169
2011,Terengganu,45-49,133
2011,Terengganu,50-54,83
2011,Terengganu,55-59,20
2011,Terengganu,60-64,6
2011,Terengganu,other,4
2011,W.P. Kuala Lumpur,17-24,27718
2011,W.P. Kuala Lumpur,25-29,11080
2011,W.P. Kuala Lumpur,30-34,7243
2011,W.P. Kuala Lumpur,35-39,4992
2011,W.P. Kuala Lumpur,40-44,3351
2011,W.P. Kuala Lumpur,45-49,2097
2011,W.P. Kuala Lumpur,50-54,1176
2011,W.P. Kuala Lumpur,55-59,446
2011,W.P. Kuala Lumpur,60-64,28
2011,W.P. Kuala Lumpur,other,21
2012,Johor,17-24,4679
2012,Johor,25-29,2358
2012,Johor,30-34,1827
2012,Johor,35-39,1421
2012,Johor,40-44,1167
2012,Johor,45-49,712
2012,Johor,50-54,458
2012,Johor,55-59,178
2012,Johor,60-64,29
2012,Johor,other,87
2012,Kedah,17-24,11374
2012,Kedah,25-29,2268
2012,Kedah,30-34,1738
2012,Kedah,35-39,1422
2012,Kedah,40-44,1190
2012,Kedah,45-49,791
2012,Kedah,50-54,504
2012,Kedah,55-59,197
2012,Kedah,60-64,21
2012,Kedah,other,13
2012,Kelantan,17-24,2466
2012,Kelantan,25-29,543
2012,Kelantan,30-34,333
2012,Kelantan,35-39,263
2012,Kelantan,40-44,228
2012,Kelantan,45-49,174
2012,Kelantan,50-54,126
2012,Kelantan,55-59,56
2012,Kelantan,60-64,4
2012,Kelantan,other,11
2012,Melaka,17-24,6156
2012,Melaka,25-29,1213
2012,Melaka,30-34,1002
2012,Melaka,35-39,750
2012,Melaka,40-44,600
2012,Melaka,45-49,451
2012,Melaka,50-54,314
2012,Melaka,55-59,131
2012,Melaka,60-64,10
2012,Melaka,other,27
2012,Negeri Sembilan,17-24,3122
2012,Negeri Sembilan,25-29,793
2012,Negeri Sembilan,30-34,600
2012,Negeri Sembilan,35-39,444
2012,Negeri Sembilan,40-44,314
2012,Negeri Sembilan,45-49,211
2012,Negeri Sembilan,50-54,109
2012,Negeri Sembilan,55-59,50
2012,Negeri Sembilan,60-64,6
2012,Negeri Sembilan,other,7
2012,Pahang,17-24,3911
2012,Pahang,25-29,834
2012,Pahang,30-34,675
2012,Pahang,35-39,524
2012,Pahang,40-44,490
2012,Pahang,45-49,379
2012,Pahang,50-54,268
2012,Pahang,55-59,120
2012,Pahang,60-64,6
2012,Pahang,other,2
2012,Perak,17-24,8848
2012,Perak,25-29,1446
2012,Perak,30-34,1111
2012,Perak,35-39,871
2012,Perak,40-44,747
2012,Perak,45-49,545
2012,Perak,50-54,343
2012,Perak,55-59,133
2012,Perak,60-64,8
2012,Perak,other,44
2012,Pulau Pinang,17-24,0
2012,Pulau Pinang,25-29,0
2012,Pulau Pinang,30-34,0
2012,Pulau Pinang,35-39,0
2012,Pulau Pinang,40-44,0
2012,Pulau Pinang,45-49,0
2012,Pulau Pinang,50-54,0
2012,Pulau Pinang,55-59,0
2012,Pulau Pinang,60-64,0
2012,Pulau Pinang,other,0
2012,Sabah,17-24,4206
2012,Sabah,25-29,1567
2012,Sabah,30-34,975
2012,Sabah,35-39,684
2012,Sabah,40-44,473
2012,Sabah,45-49,342
2012,Sabah,50-54,219
2012,Sabah,55-59,81
2012,Sabah,60-64,12
2012,Sabah,other,48
2012,Sarawak,17-24,1714
2012,Sarawak,25-29,720
2012,Sarawak,30-34,576
2012,Sarawak,35-39,444
2012,Sarawak,40-44,376
2012,Sarawak,45-49,236
2012,Sarawak,50-54,162
2012,Sarawak,55-59,63
2012,Sarawak,60-64,4
2012,Sarawak,other,4
2012,Selangor,17-24,3862
2012,Selangor,25-29,1670
2012,Selangor,30-34,1367
2012,Selangor,35-39,1063
2012,Selangor,40-44,813
2012,Selangor,45-49,550
2012,Selangor,50-54,318
2012,Selangor,55-59,115
2012,Selangor,60-64,13
2012,Selangor,other,17
2012,Terengganu,17-24,4607
2012,Terengganu,25-29,626
2012,Terengganu,30-34,335
2012,Terengganu,35-39,198
2012,Terengganu,40-44,151
2012,Terengganu,45-49,107
2012,Terengganu,50-54,52
2012,Terengganu,55-59,12
2012,Terengganu,60-64,0
2012,Terengganu,other,14
2012,W.P. Kuala Lumpur,17-24,25836
2012,W.P. Kuala Lumpur,25-29,9683
2012,W.P. Kuala Lumpur,30-34,6779
2012,W.P. Kuala Lumpur,35-39,4545
2012,W.P. Kuala Lumpur,40-44,3105
2012,W.P. Kuala Lumpur,45-49,2099
2012,W.P. Kuala Lumpur,50-54,1171
2012,W.P. Kuala Lumpur,55-59,476
2012,W.P. Kuala Lumpur,60-64,31
2012,W.P. Kuala Lumpur,other,6
2013,Johor,17-24,4602
2013,Johor,25-29,2101
2013,Johor,30-34,1798
2013,Johor,35-39,1383
2013,Johor,40-44,1009
2013,Johor,45-49,674
2013,Johor,50-54,405
2013,Johor,55-59,148
2013,Johor,60-64,10
2013,Johor,other,39
2013,Kedah,17-24,11576
2013,Kedah,25-29,2237
2013,Kedah,30-34,1808
2013,Kedah,35-39,1373
2013,Kedah,40-44,1016
2013,Kedah,45-49,682
2013,Kedah,50-54,414
2013,Kedah,55-59,161
2013,Kedah,60-64,21
2013,Kedah,other,11
2013,Kelantan,17-24,3160
2013,Kelantan,25-29,545
2013,Kelantan,30-34,410
2013,Kelantan,35-39,300
2013,Kelantan,40-44,239
2013,Kelantan,45-49,177
2013,Kelantan,50-54,90
2013,Kelantan,55-59,36
2013,Kelantan,60-64,2
2013,Kelantan,other,9
2013,Melaka,17-24,6768
2013,Melaka,25-29,1366
2013,Melaka,30-34,958
2013,Melaka,35-39,700
2013,Melaka,40-44,602
2013,Melaka,45-49,390
2013,Melaka,50-54,259
2013,Melaka,55-59,111
2013,Melaka,60-64,9
2013,Melaka,other,14
2013,Negeri Sembilan,17-24,3857
2013,Negeri Sembilan,25-29,809
2013,Negeri Sembilan,30-34,592
2013,Negeri Sembilan,35-39,423
2013,Negeri Sembilan,40-44,283
2013,Negeri Sembilan,45-49,215
2013,Negeri Sembilan,50-54,126
2013,Negeri Sembilan,55-59,47
2013,Negeri Sembilan,60-64,4
2013,Negeri Sembilan,other,3
2013,Pahang,17-24,3014
2013,Pahang,25-29,615
2013,Pahang,30-34,512
2013,Pahang,35-39,405
2013,Pahang,40-44,329
2013,Pahang,45-49,265
2013,Pahang,50-54,179
2013,Pahang,55-59,67
2013,Pahang,60-64,6
2013,Pahang,other,5
2013,Perak,17-24,9747
2013,Perak,25-29,2104
2013,Perak,30-34,1513
2013,Perak,35-39,1174
2013,Perak,40-44,1118
2013,Perak,45-49,780
2013,Perak,50-54,541
2013,Perak,55-59,224
2013,Perak,60-64,31
2013,Perak,other,55
2013,Pulau Pinang,17-24,0
2013,Pulau Pinang,25-29,0
2013,Pulau Pinang,30-34,0
2013,Pulau Pinang,35-39,0
2013,Pulau Pinang,40-44,0
2013,Pulau Pinang,45-49,0
2013,Pulau Pinang,50-54,0
2013,Pulau Pinang,55-59,0
2013,Pulau Pinang,60-64,0
2013,Pulau Pinang,other,0
2013,Sabah,17-24,3916
2013,Sabah,25-29,1477
2013,Sabah,30-34,1091
2013,Sabah,35-39,782
2013,Sabah,40-44,554
2013,Sabah,45-49,401
2013,Sabah,50-54,270
2013,Sabah,55-59,111
2013,Sabah,60-64,14
2013,Sabah,other,31
2013,Sarawak,17-24,1946
2013,Sarawak,25-29,827
2013,Sarawak,30-34,607
2013,Sarawak,35-39,556
2013,Sarawak,40-44,472
2013,Sarawak,45-49,325
2013,Sarawak,50-54,189
2013,Sarawak,55-59,98
2013,Sarawak,60-64,6
2013,Sarawak,other,4
2013,Selangor,17-24,3666
2013,Selangor,25-29,1393
2013,Selangor,30-34,1078
2013,Selangor,35-39,857
2013,Selangor,40-44,604
2013,Selangor,45-49,456
2013,Selangor,50-54,237
2013,Selangor,55-59,107
2013,Selangor,60-64,4
2013,Selangor,other,13
2013,Terengganu,17-24,4536
2013,Terengganu,25-29,537
2013,Terengganu,30-34,303
2013,Terengganu,35-39,190
2013,Terengganu,40-44,151
2013,Terengganu,45-49,103
2013,Terengganu,50-54,49
2013,Terengganu,55-59,15
2013,Terengganu,60-64,0
2013,Terengganu,other,2
2013,W.P. Kuala Lumpur,17-24,23292
2013,W.P. Kuala Lumpur,25-29,9776
2013,W.P. Kuala Lumpur,30-34,6995
2013,W.P. Kuala Lumpur,35-39,4823
2013,W.P. Kuala Lumpur,40-44,3171
2013,W.P. Kuala Lumpur,45-49,2039
2013,W.P. Kuala Lumpur,50-54,1231
2013,W.P. Kuala Lumpur,55-59,498
2013,W.P. Kuala Lumpur,60-64,27
2013,W.P. Kuala Lumpur,other,6
2014,Johor,17-24,4944
2014,Johor,25-29,2161
2014,Johor,30-34,1814
2014,Johor,35-39,1448
2014,Johor,40-44,1117
2014,Johor,45-49,681
2014,Johor,50-54,432
2014,Johor,55-59,202
2014,Johor,60-64,28
2014,Johor,other,38
2014,Kedah,17-24,11804
2014,Kedah,25-29,2318
2014,Kedah,30-34,1752
2014,Kedah,35-39,1255
2014,Kedah,40-44,990
2014,Kedah,45-49,660
2014,Kedah,50-54,442
2014,Kedah,55-59,172
2014,Kedah,60-64,14
2014,Kedah,other,16
2014,Kelantan,17-24,2991
2014,Kelantan,25-29,588
2014,Kelantan,30-34,420
2014,Kelantan,35-39,309
2014,Kelantan,40-44,277
2014,Kelantan,45-49,168
2014,Kelantan,50-54,113
2014,Kelantan,55-59,36
2014,Kelantan,60-64,8
2014,Kelantan,other,2
2014,Melaka,17-24,6309
2014,Melaka,25-29,1115
2014,Melaka,30-34,845
2014,Melaka,35-39,706
2014,Melaka,40-44,530
2014,Melaka,45-49,382
2014,Melaka,50-54,244
2014,Melaka,55-59,125
2014,Melaka,60-64,11
2014,Melaka,other,10
2014,Negeri Sembilan,17-24,2767
2014,Negeri Sembilan,25-29,608
2014,Negeri Sembilan,30-34,594
2014,Negeri Sembilan,35-39,405
2014,Negeri Sembilan,40-44,324
2014,Negeri Sembilan,45-49,235
2014,Negeri Sembilan,50-54,149
2014,Negeri Sembilan,55-59,67
2014,Negeri Sembilan,60-64,6
2014,Negeri Sembilan,other,6
2014,Pahang,17-24,3510
2014,Pahang,25-29,508
2014,Pahang,30-34,474
2014,Pahang,35-39,309
2014,Pahang,40-44,235
2014,Pahang,45-49,169
2014,Pahang,50-54,138
2014,Pahang,55-59,74
2014,Pahang,60-64,2
2014,Pahang,other,2
2014,Perak,17-24,8913
2014,Perak,25-29,1749
2014,Perak,30-34,1488
2014,Perak,35-39,1112
2014,Perak,40-44,842
2014,Perak,45-49,554
2014,Perak,50-54,398
2014,Perak,55-59,163
2014,Perak,60-64,13
2014,Perak,other,64
2014,Pulau Pinang,17-24,4779
2014,Pulau Pinang,25-29,2714
2014,Pulau Pinang,30-34,3018
2014,Pulau Pinang,35-39,2727
2014,Pulau Pinang,40-44,2241
2014,Pulau Pinang,45-49,1690
2014,Pulau Pinang,50-54,827
2014,Pulau Pinang,55-59,306
2014,Pulau Pinang,60-64,66
2014,Pulau Pinang,other,8
2014,Sabah,17-24,3442
2014,Sabah,25-29,1468
2014,Sabah,30-34,1078
2014,Sabah,35-39,834
2014,Sabah,40-44,576
2014,Sabah,45-49,373
2014,Sabah,50-54,285
2014,Sabah,55-59,111
2014,Sabah,60-64,13
2014,Sabah,other,27
2014,Sarawak,17-24,3298
2014,Sarawak,25-29,1740
2014,Sarawak,30-34,1272
2014,Sarawak,35-39,1214
2014,Sarawak,40-44,989
2014,Sarawak,45-49,774
2014,Sarawak,50-54,544
2014,Sarawak,55-59,257
2014,Sarawak,60-64,25
2014,Sarawak,other,3
2014,Selangor,17-24,3987
2014,Selangor,25-29,1357
2014,Selangor,30-34,1104
2014,Selangor,35-39,852
2014,Selangor,40-44,673
2014,Selangor,45-49,450
2014,Selangor,50-54,208
2014,Selangor,55-59,110
2014,Selangor,60-64,6
2014,Selangor,other,13
2014,Terengganu,17-24,4769
2014,Terengganu,25-29,488
2014,Terengganu,30-34,321
2014,Terengganu,35-39,163
2014,Terengganu,40-44,119
2014,Terengganu,45-49,79
2014,Terengganu,50-54,48
2014,Terengganu,55-59,16
2014,Terengganu,60-64,1
2014,Terengganu,other,2
2014,W.P. Kuala Lumpur,17-24,25972
2014,W.P. Kuala Lumpur,25-29,9200
2014,W.P. Kuala Lumpur,30-34,6994
2014,W.P. Kuala Lumpur,35-39,5034
2014,W.P. Kuala Lumpur,40-44,3183
2014,W.P. Kuala Lumpur,45-49,2090
2014,W.P. Kuala Lumpur,50-54,1243
2014,W.P. Kuala Lumpur,55-59,503
2014,W.P. Kuala Lumpur,60-64,27
2014,W.P. Kuala Lumpur,other,6
